version_ID,name,time,loc,name,lead
version0,Wuhan University V1,1893-01-01,Wuchang Sanfo Pavilion Dachao Street Intersection,Ziqiang Institute,The Qing government
version1,Wuhan University V2,1902-10-01,Wuchang East Factory Entrance,Foreign Languages Institute,The Qing government
version2,Wuhan University V3,1913-07-01,Wuchang East Factory Entrance,National Wuchang Higher Normal College,Republic of China
version3,Wuhan University V4,1923-09-01,Wuchang East Factory Entrance,National Wuchang Normal University,Republic of China
version4,Wuhan University V5,1925-01-01,Wuchang East Factory Entrance,National Wuchang University,Republic of China
version5,Wuhan University V6,1926-10-01,Wuchang East Factory Entrance,National Wuchang Zhongshan University,Republic of China
version6,Wuhan University V7,1928-07-01,Wuchang East Factory Entrance,Wuhan National University,Republic of China
version7,Wuhan University V8,1932-03-01,Wuchang Luojia Hill,Wuhan National University,Republic of China
version8,Wuhan University V9,1938-01-01,Sichuan Leshan,Wuhan National University,Republic of China
version9,Wuhan University V10,1946-01-01,Wuchang Luojia Hill,Wuhan National University,Republic of China
version10,Wuhan University V11,1949-08-01,Wuchang Luojia Hill,Wuhan University,China
